,película,año,imdb,metascore,votos
1172,Night at the Museum,(2006),6.5,48,365137
1173,Click,(2006),6.4,45,346067
1174,Apocalypto,(2006),7.8,68,322837
1175,Lucky Number Slevin,(2006),7.7,53,320818
1176,Deja Vu,(2006),7.1,59,320301
1177,Babel,(I) (2006),7.5,69,311579
1178,The Holiday,(2006),6.9,52,303347
1179,Ice Age: The Meltdown,(2006),6.8,59,289188
1180,The Fast and the Furious: Tokyo Drift,(2006),6.0,45,288916
1181,Superman Returns,(2006),6.1,72,288638
1182,Perfume: The Story of a Murderer,(2006),7.5,56,260017
1183,Crank,(2006),6.9,57,257676
1184,The Fountain,(2006),7.2,51,245082
1185,Terror en Silent Hill,(2006),6.5,31,238238
1186,Stranger Than Fiction,(2006),7.5,67,233710
1187,Rocky Balboa,(2006),7.1,63,226790
1188,Underworld: Evolution,(2006),6.7,36,205822
1189,Saw III,(2006),6.2,48,202210
1190,Happy feet - El pingüino,(2006),6.4,77,194606
1191,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66,193430
1192,The Last King of Scotland,(2006),7.6,74,192206
1193,Over the Hedge,(2006),6.7,67,184627
1194,The Hills Have Eyes,(2006),6.4,52,178465
1195,Idiocracy,(2006),6.5,66,174454
1196,She's the Man,(2006),6.4,45,169070
1197,Letters from Iwo Jima,(2006),7.8,89,167366
1198,The Lake House,(2006),6.8,52,154762
1199,La última Carta,(2006),6.6,45,149634
1200,Final Destination 3,(2006),5.8,41,149049
1201,Snakes on a Plane,(2006),5.5,58,142798
1202,Clerks II,(2006),7.3,65,139033
1203,Accepted,(2006),6.4,47,137510
1204,The Break-Up,(2006),5.8,45,136553
1205,Flushed Away,(2006),6.6,74,134012
1206,16 Blocks,(2006),6.6,63,133271
1207,Monster House,(2006),6.6,68,131020
1208,Eragon,(2006),5.1,38,128850
1209,Gwoemul,(2006),7.1,85,128444
1210,Flags of Our Fathers,(2006),7.1,79,127110
1211,Scary Movie 4,(2006),5.1,40,126153
1212,This Is England,(2006),7.7,86,126010
1213,Step Up,(2006),6.5,48,123618
1214,Miami Vice,(2006),6.0,66,121130
1215,María Antonieta,(2006),6.5,65,116745
1216,A Scanner Darkly,(2006),7.0,73,115272
1217,The Fall,(I) (2006),7.8,64,114911
1218,Little Children,(2006),7.5,75,114454
1219,La reina,(2006),7.3,90,114414
1220,Tenacious D in The Pick of Destiny,(2006),6.8,55,113086
1221,Rescue Dawn,(2006),7.3,77,109121
1222,United 93,(2006),7.6,90,109023
1223,Poseidon,(2006),5.7,50,108278
1224,The Good Shepherd,(2006),6.7,61,106281
1225,Sospechas Mortales,(2006),6.9,53,106187
1226,Volver,(I) (2006),7.6,84,105331
1227,Open Season,(2006),6.1,49,102414
1228,Lady in the Water,(2006),5.5,36,102293
1229,Running Scared,(2006),7.3,41,101980
1230,A Good Year,(2006),6.9,47,98990
1231,The Guardian,(I) (2006),6.9,53,96194
1232,The Painted Veil,(2006),7.4,69,94872
1233,Nacho Libre,(2006),5.9,52,91430
1234,The Pink Panther,(2006),5.7,38,90323
1235,Paprika,(2006),7.7,81,90064
1236,Half Nelson,(2006),7.1,85,89812
1237,Cashback,(2006),7.1,54,89434
1238,Slither,(2006),6.5,69,86554
1239,John Tucker Must Die,(2006),5.7,41,86539
1240,Grandma's Boy,(2006),6.9,33,86461
1241,Scoop,(2006),6.6,48,86316
1242,World Trade Center,(2006),6.0,66,86043
1243,La verdad incómoda,(2006),7.4,75,84559
1244,Failure to Launch,(2006),5.6,47,83812
1245,Ultraviolet,(2006),4.3,18,83300
1246,"You, Me and Dupree",(2006),5.6,46,83182
1247,Notes on a Scandal,(2006),7.4,73,82236
1248,Gridiron Gang,(2006),7.0,52,79147
1249,Zwartboek,(2006),7.7,71,78963
1250,Jackass Number Two,(2006),7.0,66,78674
1251,Huo Yuan Jia,(2006),7.6,70,77751
1252,Soñadoras,(2006),6.6,76,75937
1253,The Black Dahlia,(2006),5.6,49,75896
1254,La masacre de Texas - El comienzo,(2006),5.8,30,75513
1255,"París, te amo",(2006),7.2,66,73804
1256,Invincible,(2006),7.0,63,73731
1257,Beerfest,(2006),6.2,46,70416
1258,La ciencia de los sueños,(2006),7.2,70,70274
1259,The Wicker Man,(2006),3.8,36,70065
1260,La chica que saltaba a través del tiempo,(2006),7.7,66,69046
1261,Eight Below,(2006),7.3,64,66904
1262,My Super Ex-Girlfriend,(2006),5.2,50,66065
1263,Black Snake Moan,(2006),6.9,52,65631
1264,Penelope,(2006),6.7,48,65091
1265,We Are Marshall,(2006),7.0,53,63658
1266,RV,(2006),5.6,33,62306
1267,Date Movie,(2006),2.8,11,61246
1268,The Omen,(2006),5.5,43,61061
1269,Inland Empire,(2006),6.8,73,60289
1270,Just My Luck,(2006),5.4,29,59576
1271,Firewall,(2006),5.8,45,58983
1272,Little Man,(III) (2006),4.5,26,58079
1273,Wristcutters: A Love Story,(2006),7.2,62,57075
1274,Ne le dis à personne,(2006),7.5,82,56737
1275,Tristan + Isolde,(2006),6.8,49,53706
1276,The Benchwarmers,(2006),5.5,25,53705
1277,El viento que acaricia el prado,(2006),7.5,82,52610
1278,The Sentinel,(2006),6.1,49,51330
1279,The Covenant,(2006),5.2,19,51195
1280,La maldición 2,(2006),5.0,33,50680
1281,Employee of the Month,(2006),5.5,36,49357
1282,Glory Road,(2006),7.2,58,47857
1283,When a Stranger Calls,(2006),5.1,27,47497
1284,Candy,(2006),7.2,57,47057
1285,DOA: Dead or Alive,(2006),4.8,38,45782
1286,Garfield: A Tale of Two Kitties,(2006),5.0,37,45564
1287,Big Momma's House 2,(2006),4.8,34,45412
1288,La maldición de la flor dorada,(2006),7.0,70,45342
1289,Charlotte's Web,(2006),6.3,68,44960
1290,Aquamarine,(2006),5.4,51,44009
1291,Flyboys,(2006),6.5,47,43751
1292,Bobby,(I) (2006),7.0,54,42527
1293,Gedo senki,(2006),6.3,47,42271
1294,The Last Kiss,(2006),6.4,57,42068
1295,Black Sheep,(2006),5.8,62,41581
1296,The Ant Bully,(2006),5.8,59,40908
1297,Basic Instinct 2,(2006),4.4,26,40846
1298,The Santa Clause 3: The Escape Clause,(2006),4.8,32,40702
1299,Severance,(2006),6.4,62,39991
1300,Turistas,(2006),5.4,36,39984
1301,Southland Tales,(2006),5.3,44,39874
1302,Arthur et les Minimoys,(2006),6.0,39,39639
1303,Bug,(2006),6.1,62,36764
1304,Después de la boda,(2006),7.7,78,36012
1305,Find Me Guilty,(2006),7.0,65,35510
1306,Hollywoodland,(2006),6.5,62,35437
1307,Dnevnoy dozor,(2006),6.4,59,35017
1308,The Marine,(2006),4.7,45,34982
1309,Shortbus,(2006),6.4,64,34726
1310,Last Holiday,(2006),6.5,52,34609
1311,Man of the Year,(2006),6.2,39,34349
1312,All the Boys Love Mandy Lane,(2006),5.5,44,34215
1313,Stay Alive,(2006),5.0,24,33397
1314,Barnyard,(2006),5.6,42,33160
1315,Seraphim Falls,(2006),6.6,62,32895
1316,Hors de prix,(2006),7.0,72,32832
1317,Hatchet,(2006),5.6,57,32505
1318,Friends with Money,(2006),5.8,68,31702
1319,Ils,(2006),6.4,60,31510
1320,Goya's Ghosts,(2006),6.9,52,31479
1321,Miss Potter,(2006),7.0,57,31068
1322,Unknown,(I) (2006),6.4,44,31043
1323,Deck the Halls,(2006),5.0,28,30831
1324,School for Scoundrels,(2006),5.9,44,30239
1325,Pulse,(I) (2006),4.7,27,30233
1326,Stick It,(2006),6.3,53,29916
1327,Fido,(2006),6.7,70,29798
1328,Peaceful Warrior,(2006),7.2,40,29288
1329,Black Christmas,(2006),4.6,22,29106
1330,Jesus Camp,(2006),7.4,62,28480
1331,This Film Is Not Yet Rated,(2006),7.4,75,28464
1332,See No Evil,(2006),5.0,17,28259
1333,Catch and Release,(II) (2006),5.9,43,28076
1334,Vida Salvaje,(2006),5.2,47,27007
1335,Take the Lead,(2006),6.6,55,26374
1336,A Guide to Recognizing Your Saints,(2006),6.9,67,26340
1337,Let's Go to Prison,(2006),5.9,27,26180
1338,The Good German,(2006),6.0,49,25763
1339,Amazing Grace,(2006),7.4,65,25363
1340,Stormbreaker,(2006),5.1,42,25270
1341,All the King's Men,(2006),6.1,37,25247
1342,American Dreamz,(2006),5.5,45,25049
1343,Behind the Mask: The Rise of Leslie Vernon,(2006),6.7,66,24873
1344,Fast Food Nation,(2006),6.3,64,24738
1345,Starter for 10,(2006),6.7,69,24583
1346,Van Wilder 2: The Rise of Taj,(2006),4.8,21,23735
1347,A Prairie Home Companion,(2006),6.7,75,23318
1348,The Astronaut Farmer,(2006),6.3,55,23069
1349,Krrish,(2006),6.4,68,22987
1350,Violación de domicilio,(2006),6.5,56,22947
1351,Running with Scissors,(2006),6.1,52,22919
1352,Away from Her,(2006),7.5,88,22791
1353,Material Girls,(2006),3.9,17,22567
1354,"OSS 117: Le Caire, nid d'espions",(2006),7.0,62,22307
1355,Zoom,(2006),4.4,26,22182
1356,Factory Girl,(2006),6.4,45,22072
1357,Lonely Hearts,(2006),6.4,60,22057
1358,No Country for Old Men,(2007),8.2,92,1018380
1359,I Am Legend,(2007),7.2,65,788855
1360,Ratatouille,(2007),8.1,96,783458
1361,Pirates of the Caribbean: At World's End,(2007),7.1,50,674447
1362,Transformers,(2007),7.0,61,661899
1363,The Bourne Ultimatum,(2007),8.0,85,648204
1364,Into the Wild,(2007),8.1,73,641225
1365,Spider-Man 3,(2007),6.3,59,617398
1366,There Will Be Blood,(2007),8.2,93,615704
1367,Superbad,(2007),7.6,76,609432
1368,Harry Potter and the Order of the Phoenix,(2007),7.5,71,609379
1369,Zodiac,(2007),7.7,79,572173
1370,Juno,(2007),7.5,81,538656
1371,Hot Fuzz. Superpolicías,(2007),7.8,81,522629
1372,American Gangster,(2007),7.8,76,440730
1373,Live Free or Die Hard,(2007),7.1,69,414534
1374,Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.3,83,378892
1375,Knocked Up,(2007),6.9,85,378491
1376,Ocean's Thirteen,(2007),6.9,62,359236
1377,Tirador,(I) (2007),7.1,53,346584
1378,The Simpsons Movie,(2007),7.3,80,342034
1379,The Mist,(2007),7.1,58,326987
1380,3:10 to Yuma,(2007),7.7,76,323820
1381,Shrek the Third,(2007),6.1,58,322470
1382,Atonement,(2007),7.8,85,291009
1383,28 Weeks Later,(2007),6.9,78,286129
1384,1408,(2007),6.8,64,284880
1385,Gone Baby Gone,(2007),7.6,72,282509
1386,Stardust,(2007),7.6,66,279157
1387,4: Rise of the Silver Surfer,(2007),5.6,45,272976
1388,Sunshine,(2007),7.2,64,259879
1389,The Bucket List,(2007),7.4,42,254020
1390,Eastern Promises,(2007),7.6,83,253573
1391,Paranormal Activity,(2007),6.3,68,249548
1392,National Treasure: Book of Secrets,(2007),6.5,48,247501
1393,Ghost Rider,(2007),5.3,35,246946
1394,Disturbia,(2007),6.8,62,243112
1395,P.S. I Love You,(2007),7.0,39,215299
1396,Fracture,(2007),7.2,68,213143
1397,Enchanted,(2007),7.1,75,212410
1398,The Darjeeling Limited,(2007),7.2,67,210433
1399,Resident Evil: Extinction,(2007),6.2,41,201616
1400,The Golden Compass,(2007),6.1,51,193573
1401,[Rec],(2007),7.4,71,189727
1402,The Assassination of Jesse James by the Coward Robert Ford,(2007),7.5,68,188734
1403,Grindhouse,(2007),7.5,77,188401
1404,30 Days of Night,(2007),6.6,53,184059
1405,Rush Hour 3,(2007),6.2,44,177758
1406,Hitman,(I) (2007),6.2,35,175022
1407,Blades of Glory,(2007),6.3,64,174434
1408,Bee Movie,(2007),6.1,54,173004
1409,Beowulf,(2007),6.3,59,171564
1410,Michael Clayton,(2007),7.2,82,170733
1411,El mundo mágico de Terabithia,(2007),7.2,74,166340
1412,Next,(2007),6.2,42,163339
1413,El orfanato,(2007),7.4,74,160424
1414,Saw IV,(2007),5.9,36,156946
1415,Mr. Brooks,(2007),7.3,45,154232
1416,Shoot 'Em Up,(2007),6.6,49,153272
1417,Evan Almighty,(2007),5.4,37,152296
1418,Yo los declaro marido y... Larry,(2007),5.9,37,151551
1419,Lars and the Real Girl,(2007),7.3,70,150847
1420,Hairspray,(2007),6.7,81,135630
1421,Las vacaciones de Mr. Bean,(2007),6.4,56,130924
1422,The Kingdom,(2007),7.0,56,130298
1423,AVPR: Aliens vs Predator - Requiem,(2007),4.6,29,130245
1424,Halloween,(2007),6.0,47,126834
1425,Charlie Wilson's War,(2007),7.0,67,122818
1426,Wild Hogs,(2007),5.8,27,121546
1427,Once,(I) (2007),7.8,90,119420
1428,Death at a Funeral,(2007),7.3,67,118991
1429,Hannibal Rising,(2007),6.1,35,113654
1430,Across the Universe,(2007),7.3,56,112858
1431,August Rush,(2007),7.4,38,109720
1432,Le scaphandre et le papillon,(2007),8.0,92,109258
1433,Before the Devil Knows You're Dead,(2007),7.3,86,108207
1434,Epic Movie,(2007),2.4,17,108150
1435,Tropa de Elite,(2007),8.0,33,107570
1436,La familia del futuro,(2007),6.8,61,107151
1437,Letra y música,(2007),6.5,59,105709
1438,Dan in Real Life,(I) (2007),6.8,65,105379
1439,Vacancy,(2007),6.2,54,104865
1440,Funny Games,(2007),6.5,44,101164
1441,Dead Silence,(2007),6.1,34,98973
1442,Reign Over Me,(2007),7.4,61,98552
1443,The Game Plan,(2007),6.4,44,98427
1444,Persepolis,(2007),8.0,90,97875
1445,La Mujer de mis pesadillas,(2007),5.8,46,94959
1446,War,(2007),6.2,36,94711
1447,Hostel: Part II,(2007),5.5,46,93625
1448,Good Luck Chuck,(2007),5.6,19,92949
1449,Alvin and the Chipmunks,(2007),5.2,39,91365
1450,We Own the Night,(2007),6.8,59,91259
1451,Hot Rod,(2007),6.7,43,91189
1452,La Vie En Rose,(2007),7.6,66,89295
1453,Surf's Up,(2007),6.7,64,86698
1454,Chak De! India,(2007),8.1,68,82844
1455,Freedom Writers,(2007),7.6,64,82674
1456,The Kite Runner,(2007),7.6,61,81620
1457,The Invasion,(I) (2007),5.9,45,81082
1458,Premonition,(I) (2007),5.9,29,80511
1459,Awake,(2007),6.5,33,77868
1460,88 Minutes,(2007),5.9,17,77600
1461,Norbit,(2007),4.2,27,77201
1462,No Reservations,(2007),6.3,50,77126
1463,Sicko,(2007),8.0,74,76329
1464,Walk Hard: The Dewey Cox Story,(2007),6.8,63,75815
1465,In the Valley of Elah,(2007),7.2,65,74275
1466,Elizabeth: The Golden Age,(2007),6.8,45,73774
1467,Death Sentence,(2007),6.7,36,73671
1468,Run Fatboy Run,(2007),6.5,48,69339
1469,Las Tortugas ninja,(2007),6.2,41,67535
1470,Control,(2007),7.6,78,67376
1471,Los cronocrímenes,(2007),7.1,68,66795
1472,The Hills Have Eyes II,(2007),5.1,32,66372
1473,Charlie Bartlett,(2007),6.9,54,66123
1474,Becoming Jane,(2007),7.0,55,63885
1475,The Nanny Diaries,(2007),6.2,46,62603
1476,The Brave One,(2007),6.7,56,62385
1477,"4 luni, 3 saptamâni si 2 zile",(2007),7.9,97,62258
1478,The Great Debaters,(2007),7.5,65,61116
1479,Breach,(2007),7.0,74,61070
1480,I'm Not There,(2007),6.8,73,60232
1481,The Lookout,(2007),7.0,73,59968
1482,Rendition,(2007),6.8,55,57516
1483,My Blueberry Nights,(2007),6.6,51,55808
1484,The Condemned,(2007),6.0,23,53702
1485,Cassandra's Dream,(2007),6.6,49,53232
1486,Lions for Lambs,(2007),6.2,47,51577
1487,In the Name of the King: A Dungeon Siege Tale,(2007),3.8,15,50404
1488,Sydney White,(2007),6.2,45,50112
1489,Perfect Stranger,(2007),5.7,31,50033
1490,Diary of the Dead,(2007),5.5,66,48550
1491,Mongol,(2007),7.2,74,48232
1492,Waitress,(2007),7.0,75,47999
1493,Mr. Magorium's Wonder Emporium,(2007),6.2,48,47059
1494,Die Fälscher,(2007),7.5,78,46690
1495,Fred Claus,(2007),5.6,42,45787
1496,Pathfinder,(2007),5.4,29,45575
1497,Teeth,(I) (2007),5.4,57,45328
1498,Cleaner,(2007),6.1,49,44682
1499,The Hitcher,(2007),5.6,28,44512
1500,"Se, jie",(2007),7.5,61,44176
1501,Prueba de fe,(2007),5.6,36,44085
1502,The Visitor,(I) (2007),7.6,79,43995
1503,Balls of Fury,(2007),5.3,38,43967
1504,The Water Horse,(2007),6.4,71,42354
1505,The Messengers,(2007),5.3,34,40739
1506,License to Wed,(2007),5.2,25,40187
1507,Because I Said So,(2007),5.6,26,39624
1508,Boy A,(2007),7.6,75,38522
1509,The Savages,(2007),7.1,85,38248
1510,The King of Kong,(2007),8.0,83,37185
1511,The Last Legion,(2007),5.4,37,36682
1512,Mr. Woodcock,(2007),5.2,41,36653
1513,The Invisible,(2007),6.1,36,36182
1514,P2,(2007),5.9,37,35424
1515,The Air I Breathe,(2007),6.7,37,34688
1516,The Nines,(2007),6.2,52,34340
1517,Chaos Theory,(II) (2007),6.6,44,33197
1518,Auf der anderen Seite,(2007),7.7,85,32935
1519,Son of Rambow,(2007),7.0,66,32699
1520,Sleuth,(2007),6.4,49,32647
1521,In the Land of Women,(2007),6.4,47,32324
1522,2 Days in Paris,(2007),6.7,67,31793
1523,Paranoid Park,(2007),6.6,84,31476
1524,I Know Who Killed Me,(2007),3.6,16,30554
1525,Things We Lost in the Fire,(2007),7.1,63,29405
1526,The Jane Austen Book Club,(2007),6.7,61,28706
1527,The Girl Next Door,(2007),6.5,29,28262
1528,Frontière(s),(2007),6.2,44,28066
1529,A Mighty Heart,(2007),6.6,74,28010
1530,Reno 911!: Miami,(2007),5.9,47,27693
1531,Tau ming chong,(2007),7.0,70,27494
1532,Evangelion Shin Gekijôban: Jo,(2007),7.6,66,26257
1533,Stomp the Yard,(2007),5.4,44,26150
1534,Georgia Rule,(2007),5.9,25,25941
1535,The Hunting Party,(2007),6.8,54,25799
1536,Flawless,(2007),6.7,57,25722
1537,Eagle vs Shark,(2007),6.7,55,25621
1538,D-War,(2007),3.5,33,25114
1539,My Name Is Bruce,(2007),6.2,36,24910
1540,Reservation Road,(2007),6.6,46,24788
1541,Guru,(2007),7.7,70,24551
1542,Bratz,(2007),3.1,21,24509
1543,Wind Chill,(2007),5.8,52,24182
1544,El amor en los tiempos del cólera,(2007),6.4,43,23777
1545,Postal,(2007),4.5,22,23769
1546,Captivity,(2007),4.6,24,23506
1547,Shelter,(II) (2007),7.6,66,23488
1548,King of California,(2007),6.6,63,23405
1549,St. Trinian's,(2007),5.8,39,23274
1550,He Was a Quiet Man,(2007),6.7,53,22981
1551,Underdog,(2007),4.8,37,22316
1552,The Dark Knight,(2008),9.0,84,2768543
1553,WALL·E,(2008),8.4,95,1159903
1554,Iron Man,(2008),7.9,79,1095083
1555,Slumdog Millionaire,(2008),8.0,84,863751
1556,Gran Torino,(2008),8.1,72,796491
1557,The Curious Case of Benjamin Button,(2008),7.8,70,675778
1558,Taken,(I) (2008),7.8,51,619493
1559,The Incredible Hulk,(2008),6.6,61,511235
1560,Hancock,(2008),6.4,49,499761
1561,Kung Fu Panda,(2008),7.6,74,496530
1562,Indiana Jones y el reino de la calavera de cristal,(2008),6.2,65,479339
1563,Twilight,(I) (2008),5.3,56,475509
1564,Zona de miedo,(2008),7.5,95,464499
1565,Quantum of Solace,(2008),6.6,58,461490
1566,In Bruges,(2008),7.9,67,449435
1567,Una Guerra de Película,(2008),7.1,71,434396
1568,Cloverfield,(2008),7.0,64,411915
1569,Wanted,(2008),6.7,64,400924
1570,Yes Man,(2008),6.8,46,374633
1571,Pineapple Express,(2008),6.9,64,350463
1572,Burn After Reading,(2008),7.0,63,344161
1573,Jumper,(2008),6.1,35,316364
1574,The Wrestler,(2008),7.9,80,314768
1575,Seven Pounds,(2008),7.6,36,310410
1576,Step Brothers,(2008),6.9,51,309126
1577,Forgetting Sarah Marshall,(2008),7.1,67,295833
1578,Hellboy II: The Golden Army,(2008),7.0,78,280465
1579,Vicky Cristina Barcelona,(2008),7.1,70,263343
1580,Mamma Mia!,(2008),6.5,51,261971
1581,Changeling,(2008),7.8,63,261400
1582,21,(2008),6.8,48,261220
1583,RocknRolla,(2008),7.2,53,260401
1584,Valkyrie,(2008),7.1,56,253488
1585,The Reader,(2008),7.6,58,253435
1586,Rambo,(2008),7.0,46,239544
1587,Madagascar: Escape 2 Africa,(2008),6.6,61,239529
1588,Role Models,(2008),6.8,61,237216
1589,Body of Lies,(2008),7.0,57,234501
1590,The Boy in the Striped Pajamas,(2008),7.7,55,234069
1591,Ip Man,(2008),8.0,59,230029
1592,El superagente 86,(2008),6.5,54,224390
1593,Déjame entrar,(2008),7.9,82,222561
1594,Bolt,(2008),6.8,67,221885
1595,Revolutionary Road,(2008),7.3,69,220290
1596,The Chronicles of Narnia: Prince Caspian,(2008),6.5,62,219169
1597,Death Race,(2008),6.4,43,215211
1598,The Happening,(2008),5.0,34,213107
1599,You Don't Mess with the Zohan,(2008),5.6,54,209413
1600,Eagle Eye,(2008),6.6,43,192277
1601,The Bank Job,(2008),7.2,69,186361
1602,What Happens in Vegas,(2008),6.1,36,183528
1603,Zack and Miri Make a Porno,(2008),6.5,56,180583
1604,Milk,(I) (2008),7.5,83,177338
1605,The Day the Earth Stood Still,(2008),5.5,40,175766
1606,Transporter 3,(2008),6.0,51,172952
1607,"Definitely, Maybe",(2008),7.1,59,170467
1608,27 Dresses,(2008),6.1,47,170393
1609,The Mummy: Tomb of the Dragon Emperor,(2008),5.2,31,167277
1610,Marley & Me,(2008),7.0,53,163864
1611,Ponyo y el secreto de la sirenita,(2008),7.6,86,153887
1612,Defiance,(I) (2008),7.1,58,152972
1613,Vantage Point,(2008),6.6,40,152697
1614,Horton y el Mundo de los Quién,(2008),6.8,71,146878
1615,Harold & Kumar Escape from Guantanamo Bay,(2008),6.5,57,140202
1616,The Strangers,(2008),6.1,47,137551
1617,Bronson,(2008),7.0,71,137355
1618,"10,000 BC",(2008),5.1,34,133969
1619,Doubt,(I) (2008),7.5,68,133785
1620,Saw V,(2008),5.8,20,130402
1621,Max Payne,(2008),5.3,31,128663
1622,Journey to the Center of the Earth,(2008),5.8,57,128239
1623,Australia,(2008),6.6,53,127471
1624,Sex and the City,(2008),5.7,53,125172
1625,Street Kings,(2008),6.8,55,117672
1626,The Other Boleyn Girl,(2008),6.7,50,117321
1627,Mirrors,(I) (2008),6.1,35,111318
1628,Frost/Nixon,(2008),7.7,80,110777
1629,Meet the Spartans,(2008),2.8,9,110385
1630,The Forbidden Kingdom,(2008),6.5,57,108190
1631,Never Back Down,(2008),6.5,39,104563
1632,The Spiderwick Chronicles,(2008),6.5,62,100086
1633,Bedtime Stories,(2008),6.0,33,99123
1634,Babylon A.D.,(2008),5.5,26,97522
1635,"Synecdoche, New York",(2008),7.5,67,95739
1636,Nick and Norah's Infinite Playlist,(2008),6.6,64,94423
1637,Disaster Movie,(2008),1.9,15,93517
1638,The X Files: I Want to Believe,(2008),5.9,47,93002
1639,Originalmente pirata,(2008),6.4,52,92803
1640,Righteous Kill,(2008),6.0,36,90706
1641,Eden Lake,(2008),6.7,65,90660
1642,Sex Drive,(2008),6.5,49,90251
1643,Step Up 2: The Streets,(2008),6.2,50,89746
1644,The House Bunny,(2008),5.5,55,87461
1645,The Duchess,(2008),6.9,62,85895
1646,Semi-Pro,(2008),5.8,47,84746
1647,Fool's Gold,(I) (2008),5.7,29,82767
1648,Felon,(2008),7.4,58,82289
1649,Inkheart,(2008),6.1,49,80699
1650,Doomsday,(I) (2008),5.9,51,78839
1651,The Ruins,(2008),5.9,44,78328
1652,Outlander,(2008),6.2,40,77456
1653,Speed Racer,(2008),6.1,37,76748
1654,Ghost Town,(I) (2008),6.7,72,76449
1655,Four Christmases,(2008),5.7,41,76394
1656,Quarantine,(2008),5.9,53,75609
1657,Quiero robarme a la novia,(2008),5.8,37,74476
1658,Blindness,(2008),6.5,45,74329
1659,Sunshine Cleaning,(2008),6.8,61,73095
1660,Superhero Movie,(2008),4.6,33,73048
1661,Hunger,(2008),7.5,82,72277
1662,How to Lose Friends & Alienate People,(2008),6.4,35,70459
1663,Star Wars: The Clone Wars,(2008),5.9,35,70193
1664,Chugyeokja,(2008),7.8,64,70089
1665,The Midnight Meat Train,(2008),6.0,58,68660
1666,City of Ember,(2008),6.4,58,68418
1667,Punisher: War Zone,(2008),5.9,30,65745
1668,High School Musical 3: Senior Year,(2008),4.9,57,65654
1669,Appaloosa,(2008),6.7,64,63124
1670,Pride and Glory,(2008),6.6,45,62372
1671,The Spirit,(2008),4.7,30,62285
1672,Drillbit Taylor,(2008),5.7,41,61694
1673,Religulous,(2008),7.6,56,59841
1674,Vals Im Bashir,(2008),8.0,91,59349
1675,Traitor,(2008),6.9,61,58621
1676,Bangkok Dangerous,(2008),5.3,24,57747
1677,Man on Wire,(2008),7.7,89,57687
1678,The Eye,(2008),5.4,36,55315
1679,Lakeview Terrace,(2008),6.2,47,54381
1680,The Love Guru,(2008),3.8,24,54156
1681,Transsiberian,(2008),6.6,72,54078
1682,Okuribito,(2008),8.0,68,53875
1683,Untraceable,(2008),6.2,32,52103
1684,The Brothers Bloom,(2008),6.7,55,51997
1685,"Food, Inc.",(2008),7.8,80,51786
1686,Rachel Getting Married,(2008),6.7,85,50486
1687,Gomorra,(2008),7.0,87,50344
1688,W.,(I) (2008),6.3,56,49473
1689,Chi bi,(2008),7.3,73,47652
1690,"New York, I Love You",(2008),6.2,49,47116
1691,Baby Mama,(2008),6.0,55,46578
1692,My Best Friend's Girl,(2008),5.8,34,45602
1693,Meet Dave,(2008),5.1,43,42716
1694,Two Lovers,(2008),7.0,74,42434
1695,Happy-Go-Lucky,(2008),7.0,84,40568
1696,Deception,(2008),6.0,31,40321
1697,Splinter,(I) (2008),6.1,58,39821
1698,JCVD,(2008),7.1,64,39802
1699,The Rocker,(2008),6.2,53,39680
1700,The Tale of Despereaux,(2008),6.1,53,39304
1701,Nothing But the Truth,(I) (2008),7.2,64,39251
1702,Der Baader Meinhof Komplex,(2008),7.3,76,39203
1703,Dear Zachary: A Letter to a Son About His Father,(2008),8.5,82,39065
1704,The Hottie & the Nottie,(2008),1.9,7,38864
1705,Passengers,(2008),5.8,40,38309
1706,Prom Night,(I) (2008),3.9,17,37427
1707,Joheunnom nabbeunnom isanghannom,(2008),7.2,69,37061
1708,Shutter,(I) (2008),5.2,37,36583
1709,Nim's Island,(2008),6.0,55,36267
1710,Entre les murs,(2008),7.5,92,36054
1711,L'instinct de mort,(2008),7.5,71,34760
1712,Che: Part Two,(2008),6.8,64,34546
1713,Pontypool,(2008),6.5,54,34071
1714,Jodhaa Akbar,(2008),7.5,69,33892
1715,One Missed Call,(2008),4.0,24,33531
1716,Choke,(2008),6.4,47,33190
1717,Pathology,(2008),5.9,55,32972
1718,Leatherheads,(2008),6.0,56,32962
1719,Ong Bak 2,(2008),6.2,47,31476
1720,The Wackness,(2008),6.9,61,31086
1721,L'ennemi public n°1,(2008),7.4,72,30751
1722,The Sisterhood of the Traveling Pants 2,(2008),6.2,63,30239
1723,Miss Pettigrew Lives for a Day,(2008),7.0,63,29296
1724,Max Manus,(2008),7.3,60,29133
1725,The Secret Life of Bees,(2008),7.2,57,27342
1726,Frozen River,(2008),7.1,82,26150
1727,Repo! The Genetic Opera,(2008),6.4,32,25944
1728,Nights in Rodanthe,(2008),6.0,39,25896
1729,Beverly Hills Chihuahua,(2008),3.9,41,25318
1730,Over Her Dead Body,(2008),5.2,30,25197
1731,The Accidental Husband,(2008),5.5,14,25119
1732,Igor,(2008),5.9,40,23987
1733,Fireproof,(2008),6.4,28,23641
1734,Smart People,(2008),6.1,57,23362
1735,Elegy,(I) (2008),6.7,66,22983
1736,Cadillac Records,(2008),7.0,65,22589
1737,The Express,(2008),7.2,58,22584
1738,The Women,(I) (2008),5.0,27,22508
1739,Strange Wilderness,(2008),5.2,12,22464
